b1	b10	b11	b12	b13	b14	b15	b16	b17	b2	b4	b6	b7	b8	b9	a1	a10	a11	a12	a13	a14	a15	a16	a17	a2	a4	a6	a7	a8	a9	c1	c10	c11	c12	c13	c14	c15	c16	c17	c2	c4	c6	c7	c8	c9
443231	192000	460000	530000	180000	47300	62800	761000	22400	69000	578000	239000	274000	282000	446000	44700	65400	129000	472000	410000	10000	19500	469000	62900	88600	352000	166000	36000	709000	225000	11000	64300	335000	62700	97600	37600	116000	1260000	126000	13700	441000	40700	352000	324000	597000
146903	16900000	44600000	17900000	26800000	5430000	7330000	6770000	1460000	7700000	13900000	39100000	5590000	3290000	13100000	1740000	3450000	4790000	13200000	29400000	4230000	2660000	4940000	1340000	2110000	11100000	12400000	6700000	6410000	19000000	491000	5280000	10100000	15100000	22100000	5300000	13500000	23900000	3580000	2400000	9290000	7180000	8340000	2760000	6540000
72881	11400000	12000000	11600000	11500000	11100000	11500000	11700000	11800000	12000000	11800000	11300000	11100000	11800000	11200000	11700000	12000000	11100000	11500000	11400000	11200000	11100000	11800000	11400000	11300000	11700000	11800000	10800000	11300000	11400000	10800000	11500000	11700000	11200000	10500000	11500000	11900000	10900000	12400000	11600000	11400000	11200000	11200000	11800000	11600000
5280598	1570000	1090000	1450000	1690000	731000	633000	636000	141000	184000	1020000	5470000	515000	470000	893000	72400	295000	277000	1170000	2630000	1450000	138000	830000	107000	65800	884000	841000	52600	307000	1470000	123000	301000	798000	934000	2460000	1020000	1200000	1100000	199000	1710000	726000	177000	681000	71600	1650000
6930705	2550000	2590000	3300000	2550000	2960000	2880000	2700000	2900000	3380000	2540000	3190000	2730000	3060000	3390000	3560000	3180000	2920000	2490000	2980000	3070000	3140000	3080000	3270000	3020000	3280000	2820000	3110000	2810000	3640000	3430000	3240000	2830000	3310000	2760000	2660000	2700000	2910000	2940000	2960000	2970000	3270000	3000000	3140000	2860000
11954136	62500	93500	93300	26000	37300	70700	173000	70100	139000	157000	135000	55600	155000	429000	66700	256000	117000	63300	169000	81900	152000	153000	123000	113000	10400	592000	160000	16400	92100	201000	107000	164000	15000	77700	33400	166000	30000	187000	191000	109000	9760	489000	91300	417000
7069	391000	1250000	863000	1800000	786000	1300000	1390000	611000	269000	525000	2710000	1010000	669000	844000	634000	154000	1140000	1230000	2640000	925000	94900	1530000	857000	118000	989000	1190000	447000	938000	2040000	445000	753000	836000	3180000	6610000	937000	1590000	5730000	1140000	808000	2950000	777000	3030000	549000	2420000
441320	5840	1430	534000	2060	3060	10300	4680	30900	1000	2570	63500	1750	1770	6130	1940	1970	2400	1110000	1360	2650	1680	20700	1300	1590	1430	2880	1120	24500	157000	1640	13900	1540	1390	2220	2170	1540	8850	1760	2110	2470	1400	2950	9700	2000
85782	1600000	324000	6150	9300	12800	6700	157000	9140	4730	19900	6000000	1540000	3820	1150000	644000	60100	3440	9080	6130	10100	0	25800	2710	2310	920000	36400	8590	170000	1290000	10200	214000	1640000	1170000	2670000	7610	525000	684000	153000	246000	815000	533000	730000	116000	2540000
91528	8410000	11100000	3710000	13300000	2760000	2580000	3940000	690000	3840000	6370000	21300000	3150000	1970000	9590000	1220000	2350000	2020000	7990000	15000000	1890000	6320000	4130000	952000	1220000	4730000	6180000	853000	4490000	9930000	1020000	3040000	4770000	3790000	11200000	2660000	8660000	8630000	1780000	1750000	4920000	4560000	4810000	1610000	3520000
